"eventID","occurrenceID","scientificName","taxonID","taxonRank","kingdom","phylum","order","genus","family","basisOfRecord","recordedBy","verbatimLocality","locationRemarks","bibliographicCitation","occurrenceStatus","establishmentMeans","informationWithheld","occurrenceRemarks"
"urn:uuid:6506cda6-a6db-446b-90d7-da4ca9ee5006","urn:uuid:ea1a325b-d44c-4cda-95f9-76ac7f55f032","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:650fde41-01e4-4628-90e1-8e9c59fac2b9","urn:uuid:0fc34d6c-00ba-4a6f-94a9-f1cf86e6564c","Thymallus thymallus (Linnaeus, 1758)","42678","SPECIES","Animalia","Chordata","Salmoniformes","Thymallus","Salmonidae","HumanObservation","Hartvig Huitfeldt-Kaas","Haartjernet","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 67","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:d067cbb3-7fd0-4052-8076-ccdb6590fa4e","urn:uuid:a355aa7c-8d92-46d0-b1d6-2e2c8f6c34a6","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","Nordre Bolsjø","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:8067cf9f-9cc7-4c58-8a92-4dda6ffcc4cd","urn:uuid:1d300184-9c61-454c-be5e-ef1abb32aea4","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:d067cbb3-7fd0-4052-8076-ccdb6590fa4e","urn:uuid:5977d28f-84a6-43b8-8e79-c01150902187","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","Nordre Bolsjø","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 63","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:8067cf9f-9cc7-4c58-8a92-4dda6ffcc4cd","urn:uuid:b4554fd7-8d50-4314-9223-3443407160c0","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","søndre bolsjø","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:8067cf9f-9cc7-4c58-8a92-4dda6ffcc4cd","urn:uuid:fcf037fd-470c-4ff9-a4a0-b37a6765dcfa","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","Søndre Bolsjø","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:8067cf9f-9cc7-4c58-8a92-4dda6ffcc4cd","urn:uuid:b7b005e1-9866-4964-a8fc-8b1f7fa43e25","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","søndre bolsjø","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:02adcace-526c-48c1-9975-10cb4209d5aa","urn:uuid:108cb80a-ce87-401e-9df7-248cceb22f6a","Gasterosteus aculeatus Linnaeus, 1758","42850","SPECIES","Animalia","Chordata","Gasterosteiformes","Gasterosteus","Gasterosteidae","HumanObservation","Hartvig Huitfeldt-Kaas","test","test","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 44","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:add8a7b6-a614-419f-a8b3-78a6334c5002","urn:uuid:c338565c-74fa-499e-a8c6-5d991bd3f45f","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","øieren","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 59","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:737a985f-5757-47e3-a71a-183001b5fb63","urn:uuid:7c07ea1b-fdc4-4111-b0e8-db119fb452de","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:75af3055-dc6c-4a5a-9cf6-1c766a7adbf8","urn:uuid:57d1e82e-3f2f-4bde-ba56-c068db6d5d64","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations","VerbatimLocality: Dypen- Dipen"
"urn:uuid:5987ffbd-1173-4572-aca6-8ab859e875af","urn:uuid:99e06454-9276-41d6-ac74-2012dc0e37e7","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present","introduced","Name of person transcribing the record witheld due to data privacy legislations","VerbatimLocality: Vaalmangen- Vålmangen
Introdusert i 1884"
"urn:uuid:24229ec8-5e7c-4350-95fc-90dde8f43542","urn:uuid:e38ee70d-e793-415a-aaaf-46cc42babcb1","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present","introduced","Name of person transcribing the record witheld due to data privacy legislations","Introdusert ca. 1800"
"urn:uuid:48c0e6b4-a729-47a7-98cb-e94973f8c25a","urn:uuid:edb86c78-84cb-4d70-86ad-4c1fe7fbf97c","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:f6661855-05a7-447a-9f05-34ea3ea001f5","urn:uuid:0b747bf5-e9d3-4878-8f8a-ab0b21b315f8","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:d4e23648-b918-48f8-99c0-d6c3dafc171b","urn:uuid:13acf68f-556c-47f0-b969-95dab666d573","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations","VerbatimLocality: Søndre Fløisjø- Søndre Fløgen"
"urn:uuid:f5a62fc4-0d54-4141-9682-310d3a8c735c","urn:uuid:ee82fbce-5466-4695-a268-2d547df07873","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations","VerbatimLocality: Nordre Fløisjø- Nordre Fløgen"
"urn:uuid:c9265cd6-7ac5-4503-9fa4-3955fdc49b06","urn:uuid:38a2618c-285e-4d17-b150-193082f86ffe","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations","VerbatimLocality: Søraassjøen- Sørsåssjøen"
"urn:uuid:873c4d04-3795-4adf-a804-41286d1fdfaf","urn:uuid:11c8f3e6-5879-490c-bf37-ae5a6ac40c64","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:1b980594-9c4c-446f-9d6b-0b06b981d20f","urn:uuid:5fc4d1e0-10d0-45b5-8075-c8e9d2c633f6","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
"urn:uuid:ffb99f6a-93b1-4216-a91e-2532de6a22a8","urn:uuid:c7b02aed-2835-4183-b4e4-d95e92ca85e5","Esox lucius Linnaeus, 1758","42681","SPECIES","Animalia","Chordata","Esociformes","Esox","Esocidae","HumanObservation","Hartvig Huitfeldt-Kaas","","","Huitfeldt-Kaas, H. (1918). Ferskvandsfiskenes utbredelse og indvandring i Norge: Med et tillæg om krebsen. Kristiania: Centraltrykkeriet. In Norwegian. URL:https://urn.nb.no/URN:NBN:no-nb_digibok_2006120500031. Page: 62","present",,"Name of person transcribing the record witheld due to data privacy legislations",""
