"eventID","fieldNumber"
"6506cda6-a6db-446b-90d7-da4ca9ee5006","NTNU-VM_HK_2019_NVE:vatnLnr:33642"
"650fde41-01e4-4628-90e1-8e9c59fac2b9","NTNU-VM_HK_2019_NVE:vatnLnr:34780"
"d067cbb3-7fd0-4052-8076-ccdb6590fa4e","NTNU-VM_HK_2019_NVE:vatnLnr:3653"
"8067cf9f-9cc7-4c58-8a92-4dda6ffcc4cd","NTNU-VM_HK_2019_NVE:vatnLnr:3659"
"7951b04f-14f1-46d8-967f-8547f3cef474","NTNU-VM_HK_2019_"
"02adcace-526c-48c1-9975-10cb4209d5aa","NTNU-VM_HK_2019_NVE:vatnLnr:153251"
"add8a7b6-a614-419f-a8b3-78a6334c5002","NTNU-VM_HK_2019_NVE:vatnLnr:113"
"737a985f-5757-47e3-a71a-183001b5fb63","NTNU-VM_HK_2019_NVE:vatnLnr:159"
"75af3055-dc6c-4a5a-9cf6-1c766a7adbf8","NTNU-VM_HK_2019_NVE:vatnLnr:3701"
"5987ffbd-1173-4572-aca6-8ab859e875af","NTNU-VM_HK_2019_NVE:vatnLnr:237"
"24229ec8-5e7c-4350-95fc-90dde8f43542","NTNU-VM_HK_2019_NVE:vatnLnr:160"
"48c0e6b4-a729-47a7-98cb-e94973f8c25a","NTNU-VM_HK_2019_NVE:vatnLnr:3658"
"f6661855-05a7-447a-9f05-34ea3ea001f5","NTNU-VM_HK_2019_NVE:vatnLnr:3770"
"d4e23648-b918-48f8-99c0-d6c3dafc171b","NTNU-VM_HK_2019_NVE:vatnLnr:3687"
"f5a62fc4-0d54-4141-9682-310d3a8c735c","NTNU-VM_HK_2019_NVE:vatnLnr:3674"
"c9265cd6-7ac5-4503-9fa4-3955fdc49b06","NTNU-VM_HK_2019_NVE:vatnLnr:3716"
"873c4d04-3795-4adf-a804-41286d1fdfaf","NTNU-VM_HK_2019_NVE:vatnLnr:3749"
"1b980594-9c4c-446f-9d6b-0b06b981d20f","NTNU-VM_HK_2019_NVE:vatnLnr:3670"
"ffb99f6a-93b1-4216-a91e-2532de6a22a8","NTNU-VM_HK_2019_NVE:vatnLnr:158"
"0609aaf7-78a6-4641-9c54-5784ba8aa9c7","NTNU-VM_HK_2019_NVE:vatnLnr:157"
"120c7350-3c28-45a7-8f1d-0df551ca3d7f","NTNU-VM_HK_2019_NVE:vatnLnr:348"
"dc000a18-11f4-45c2-98f8-b0a351ef984b","NTNU-VM_HK_2019_NVE:vatnLnr:349"
"f725bb21-a4a8-454f-9487-09cc847339d0","NTNU-VM_HK_2019_NVE:vatnLnr:350"
"ff3176dd-4fdd-4dea-a60c-e3c12ebe0c65","NTNU-VM_HK_2019_NVE:vatnLnr:124"
"4b2073bf-56fc-4a46-8cc8-5dac7dcbed36","NTNU-VM_HK_2019_NVE:vatnLnr:4013"
"dc15f5b8-9e0d-47ed-995f-af87c84d5cc6","NTNU-VM_HK_2019_NVE:vatnLnr:123"
"7b20c212-fef8-4458-88e0-ec3004050374","NTNU-VM_HK_2019_NVE:vatnLnr:4048"
"2ae13271-6515-4539-8755-1ab53b6490eb","NTNU-VM_HK_2019_NVE:vatnLnr:4076"
"daa5612a-68d1-4f8f-bf11-9375ca36e070","NTNU-VM_HK_2019_NVE:vatnLnr:131"
"d4bfff8b-5a80-4770-ba9e-e56bf72bf16b","NTNU-VM_HK_2019_NVE:vatnLnr:4159"
"e0b037fb-eba3-4cb9-86a4-1c937fd4f376","NTNU-VM_HK_2019_NVE:vatnLnr:364"
"aa566e99-6050-4267-9ffb-0a6a9b747888","NTNU-VM_HK_2019_NVE:vatnLnr:4211"
"4d575b70-47ee-4e80-8d43-dc4fb371e040","NTNU-VM_HK_2019_NVE:vatnLnr:4109"
"ab101ecb-f873-4d88-a493-d9acfcc53b7e","NTNU-VM_HK_2019_NVE:vatnLnr:122"
"50fa8451-f693-47f5-9432-7365d5b47851","NTNU-VM_HK_2019_NVE:vatnLnr:359"
"23df8b84-452f-404b-a58b-8b034147c7c2","NTNU-VM_HK_2019_NVE:vatnLnr:3043"
"74abae80-129c-489c-9362-64679c5747d4","NTNU-VM_HK_2019_NVE:vatnLnr:4334"
"cb8ef409-8ea5-4033-994b-3fff91d0e31b","NTNU-VM_HK_2019_æøå"
"23ae40df-200b-4614-9e7e-28ee775d7a49","NTNU-VM_HK_2019_NVE:vatnLnr:367"
"1790f486-4170-4bc2-bc9e-9ee9935551e4","NTNU-VM_HK_2019_NVE:vatnLnr:370"
"2048a7b9-1715-4cdf-9938-9eef0e74ade3","NTNU-VM_HK_2019_NVE:vatnLnr:371"
"ee8c5eb3-2b95-4043-8d4e-78d83d4f9984","NTNU-VM_HK_2019_NVE:vatnLnr:360"
"fca2ec8d-1e5f-4cda-9546-c1604fea9fc3","NTNU-VM_HK_2019_NVE:vatnLnr:4203"
"02f17a55-5ec1-4a2f-a81a-50591482952a","NTNU-VM_HK_2019_NVE:vatnLnr:4058"
