"occurrenceID","eventID","scientificName"
"urn:uuid:b557e505-c129-4615-9b8a-232403449adb","urn:uuid:002d00b7-2d10-4328-8c1b-b8fb36e55e0a","Esox lucius Linnaeus, 1758"
"urn:uuid:d3e727dd-93fb-4112-9345-ed98bfaf24d3","urn:uuid:002d00b7-2d10-4328-8c1b-b8fb36e55e0a","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:eebf9ab8-b44a-4d99-940a-9681838d45d5","urn:uuid:002d00b7-2d10-4328-8c1b-b8fb36e55e0a","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:55ef45bb-fe67-43f9-8d43-f1d8578c0475","urn:uuid:002d00b7-2d10-4328-8c1b-b8fb36e55e0a","Lota lota (Linnaeus, 1758)"
"urn:uuid:6b2b1515-383e-45a5-9df9-c0ebd3e6820c","urn:uuid:002d00b7-2d10-4328-8c1b-b8fb36e55e0a","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:229b7be6-902b-44f2-929a-a61510f477ef","urn:uuid:002d00b7-2d10-4328-8c1b-b8fb36e55e0a","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:ee18b4cb-7086-4c03-b58d-a4b3370cf102","urn:uuid:002d00b7-2d10-4328-8c1b-b8fb36e55e0a","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:6abff954-2c65-49ef-b279-1b6bbe9c6d02","urn:uuid:0054c35f-b4bf-4c3b-9e10-3971719411ca","Esox lucius Linnaeus, 1758"
"urn:uuid:c50ce6b5-4627-4606-92bb-62065c60c204","urn:uuid:0054c35f-b4bf-4c3b-9e10-3971719411ca","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:ca4d1e0b-82af-4c1e-871b-c010654293f3","urn:uuid:0054c35f-b4bf-4c3b-9e10-3971719411ca","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:7105e668-3f04-4c5d-a0df-1f2baad5e585","urn:uuid:0054c35f-b4bf-4c3b-9e10-3971719411ca","Lota lota (Linnaeus, 1758)"
